Date,total_checked,before_sleep_check,rise_time_check,meditation_check,reading_check,morning_thoughts_check,push_up_check
3/9/2022,4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
3/10/2022,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
3/11/2022,3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
3/12/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3/13/2022,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
3/14/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3/15/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3/16/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3/17/2022,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3/18/2022,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
3/19/2022,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
3/20/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3/21/2022,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
3/22/2022,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3/23/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
3/24/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
3/25/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
3/26/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3/27/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3/28/2022,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
3/29/2022,3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
3/30/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
3/31/2022,4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
4/1/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4/9/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4/10/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4/11/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4/12/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4/13/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4/14/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
4/15/2022,5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
4/16/2022,5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
4/17/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4/18/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4/19/2022,4,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
4/20/2022,5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
4/21/2022,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
4/22/2022,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
4/23/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4/24/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4/25/2022,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
4/26/2022,4,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
4/27/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4/28/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
4/29/2022,4,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
4/30/2022,4,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
5/1/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5/2/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5/3/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5/4/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5/5/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
5/6/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
5/7/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5/8/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5/9/2022,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
5/10/2022,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
5/11/2022,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5/12/2022,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5/13/2022,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5/14/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
